schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,activities,activities_delete_tenant_role,PERMISSIVE,{authenticated},DELETE,"((user_id = auth.uid()) AND workspace_has_permission(auth.uid(), workspace_id, 'expedientes:editar'::text))",
public,activities,activities_insert_tenant_role,PERMISSIVE,{authenticated},INSERT,,"((user_id = auth.uid()) AND workspace_has_permission(auth.uid(), workspace_id, 'expedientes:editar'::text))"
public,activities,activities_select_tenant_role,PERMISSIVE,{authenticated},SELECT,"(user_in_workspace(auth.uid(), workspace_id) AND ((user_id = auth.uid()) OR workspace_has_permission(auth.uid(), workspace_id, 'expedientes:ver_equipo'::text) OR (EXISTS ( SELECT 1
   FROM (prospect_shares ps
     JOIN prospects p ON ((p.id = ps.prospect_id)))
  WHERE ((ps.prospect_id = activities.prospect_id) AND (ps.shared_with_id = auth.uid()) AND (p.workspace_id = activities.workspace_id))))))",
public,activities,activities_update_tenant_role,PERMISSIVE,{authenticated},UPDATE,"((user_id = auth.uid()) AND workspace_has_permission(auth.uid(), workspace_id, 'expedientes:editar'::text))","((user_id = auth.uid()) AND user_in_workspace(auth.uid(), workspace_id))"
public,calendar_entries,calendar_delete_tenant_role,PERMISSIVE,{authenticated},DELETE,"((user_id = auth.uid()) AND workspace_has_permission(auth.uid(), workspace_id, 'expedientes:editar'::text))",
public,calendar_entries,calendar_insert_tenant_role,PERMISSIVE,{authenticated},INSERT,,"((user_id = auth.uid()) AND user_in_workspace(auth.uid(), workspace_id) AND workspace_has_permission(auth.uid(), workspace_id, 'expedientes:editar'::text))"
public,calendar_entries,calendar_select_tenant_role,PERMISSIVE,{authenticated},SELECT,"(user_in_workspace(auth.uid(), workspace_id) AND ((user_id = auth.uid()) OR workspace_has_permission(auth.uid(), workspace_id, 'expedientes:ver_equipo'::text)))",
public,calendar_entries,calendar_update_tenant_role,PERMISSIVE,{authenticated},UPDATE,"((user_id = auth.uid()) AND workspace_has_permission(auth.uid(), workspace_id, 'expedientes:editar'::text))","((user_id = auth.uid()) AND user_in_workspace(auth.uid(), workspace_id))"
public,catalogo_configuracion,catalogo_config_select,PERMISSIVE,{public},SELECT,rh_can_access_empresa(empresa_id),
public,catalogo_configuracion,catalogo_config_write,PERMISSIVE,{public},ALL,(is_super_admin() OR rh_can_access_empresa(empresa_id)),(is_super_admin() OR rh_can_access_empresa(empresa_id))
public,chat_conversations,chat_conversations_select_member,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM chat_members m
  WHERE ((m.conversation_id = chat_conversations.id) AND (m.usuario_id = auth.uid()) AND (m.left_at IS NULL))))",
public,chat_members,chat_members_select_peer,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM chat_members me
  WHERE ((me.conversation_id = chat_members.conversation_id) AND (me.usuario_id = auth.uid()) AND (me.left_at IS NULL))))",
public,chat_messages,chat_messages_insert_member,PERMISSIVE,{authenticated},INSERT,,"((sender_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM chat_members m
  WHERE ((m.conversation_id = chat_messages.conversation_id) AND (m.usuario_id = auth.uid()) AND (m.left_at IS NULL)))))"
public,chat_messages,chat_messages_select_member,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM chat_members m
  WHERE ((m.conversation_id = chat_messages.conversation_id) AND (m.usuario_id = auth.uid()) AND (m.left_at IS NULL))))",
public,direct_messages,messages_insert_sender,PERMISSIVE,{public},INSERT,,"((auth.uid() = sender_id) AND users_are_connected(sender_id, recipient_id))"
public,direct_messages,messages_select_participant,PERMISSIVE,{public},SELECT,((auth.uid() = sender_id) OR (auth.uid() = recipient_id)),
public,direct_messages,messages_update_recipient_read,PERMISSIVE,{public},UPDATE,(auth.uid() = recipient_id),
public,empresa_miembros,empresa_miembros_select_empresa,PERMISSIVE,{authenticated},SELECT,"user_in_empresa(auth.uid(), empresa_id)",
public,empresas,empresas_select_member,PERMISSIVE,{authenticated},SELECT,"((EXISTS ( SELECT 1
   FROM (workspaces w
     JOIN workspace_miembros m ON ((m.workspace_id = w.id)))
  WHERE ((w.empresa_id = empresas.id) AND (m.usuario_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.is_super_admin = true)))))",
public,flag_reglas,flag_reglas_select_scoped,PERMISSIVE,{authenticated},SELECT,"(is_super_admin() OR (alcance = 'membresia'::text) OR ((alcance = 'usuario'::text) AND (alcance_id = auth.uid())) OR ((alcance = 'rol'::text) AND (EXISTS ( SELECT 1
   FROM roles r
  WHERE ((r.id = flag_reglas.alcance_id) AND ((r.empresa_id IS NULL) OR user_can_read_tenant_role(r.empresa_id)))))))",
